지역,진출국가,관할무역관,기업명(국문),기업명(영문),주소,위도,경도,우편번호,진출형태,투자형태,모기업명,업종 대분류,업종 중분류
동남아대양주,인도네시아,자카르타,광덕월드와이드,KWANGDUK WORLDWIDE,"JL RAYA CIPEUNDEUY RW 04,06 CIKALONG, BANDUNG BARAT, INDONESIA",-6.73545037402354,107.376153700996,40556,생산법인,.,부림광덕,C. 제조업,섬유제품 제조업 (의복 제외)
동남아대양주,인도네시아,자카르타,광림와이에이취인다,KWANGLIM YH INDAH,"JL.RAYA PAGADEN SUBANG GEMBOR II RT 18,06 KEC. PAGADEN SUBANG JAWA BARAT 41252, INDONESIA","-1.4591842096386571, 109.52540523796532",109.525405237965,41252,생산법인,.,광림무역,C. 제조업,섬유제품 제조업 (의복 제외)
동남아대양주,인도네시아,자카르타,광진인도네시아,KWANG JIN INDONESIA,"KAWASAN INDUSTRI JABABEKA BLOK C-17Y CIKARANG, BEKASI, INDONESIA","-6.281631866054228, 107.14846011875107",107.148460118751,17141,생산법인,.,,C. 제조업,금속 가공제품 제조업 (기계 및 가구 제외)
동남아대양주,인도네시아,자카르타,구눙살락수까부미,GUNUNG SALAK SUKABUMI,"JL.BABAKAN PASIR DALEM DESA BABAKAN PARI KEC CIDAHU KAB SUKABUMI JAWA BARAT 43358, INDONESIA","-6.795097638413822, 106.76718210541057",106.76718210541,43358,생산법인,.,,C. 제조업,섬유제품 제조업 (의복 제외)
동남아대양주,인도네시아,자카르타,구눙아바디,GUNUNG ABADI,"JL. SULAWESI BLOK D-45B, KAWASAN BERIKAT NUSANTARA, JL. RAYA CAKUNG CILINCING - JAKARTA UTARA, INDONESIA","-0.9319059662278123, 120.49355302304114",120.493553023041,14140,생산법인,.,,C. 제조업,섬유제품 제조업 (의복 제외)
동남아대양주,인도네시아,자카르타,국가철도공단 인니지사,KOREA NATIONAL RAILWAY INDONESIA OFFICE,"TREASURY TOWER DISTRICT 8, JAKARTA",-6.22790832457704,106.806443037859,12190,"해외지사, 기타(건설면허취득)",.,한국철도시설공단,.,
동남아대양주,인도네시아,자카르타,그라프,GRAPH,"JL. TB SIMATUPANG PONDOK INDAH PLAZA 3 BLOK D 01 JAKARTA SELATAN, INDONESIA",-6.28539931963344,106.776282888291,12310,서비스법인,.,,P. 교육서비스업,
동남아대양주,인도네시아,자카르타,그린 네이쳐 팜,PT. GREEN NATURE FARM,"PLAZA PALLAIS DE EUROPE JL. TROCADERO NO.90, INDONESIA",-6.22180259318343,106.61738795714,15139,서비스법인,합작투자,,G. 도매 및 소매업,
동남아대양주,인도네시아,자카르타,그린글러브인도네시아,GREEN GLOVES INDONESIA,"JL. PILANGSARI RT 019 RW 008 GONDANG, KEBONARUM, KLATEN, JAWA TENGAH, INDONESIA",-7.71488747373026,110.569530909946,57486,생산법인,.,,C. 제조업,섬유제품 제조업 (의복 제외)
동남아대양주,인도네시아,자카르타,그린비즈니스센터,GREEN BUSINESS CENTER,"SMESCO TOWER 6TH FL., JL. JEND. GATOT SUBROTO KAV. 94, JAKARTA SELATAN 12780, INDONESIA",-6.24144569051185,106.836284895099,12780,기타,.,,U. 국제 및 외국기관,
동남아대양주,인도네시아,자카르타,그린텍스 인도네시아 우따마,GREENTEX INDONESIA UTAMA,"JL. SUMATERA BLOCK E-12A, KBN CAKUNG, JAKARTA UTARA, INDONESIA",-6.14573523829965,106.936777273157,14140,생산법인,.,,C. 제조업,섬유제품 제조업 (의복 제외)
동남아대양주,인도네시아,자카르타,그린프로프르티,GREEN PROPERTY,"WISMA AMEX, 4TH FL. JL. MELAWAI RAYA NO. 7 JAKARTA SELATAN 12160, INDONESIA",-6.24566361513046,106.802274249076,12160,서비스법인,.,,L. 부동산업,
동남아대양주,인도네시아,자카르타,그밀랑 카르야 만디리,GEMILANG KARYA MANDIRI,"KOMP.RUKO TAMAN CILEGON BLOK A NO.43 CILEGON BANTEN 42413, INDONESIA",-6.01625579634628,106.083676391219,42413,서비스법인,.,,F. 건설업,
동남아대양주,인도네시아,자카르타,극동 퍼르다나 물리아,KUKDONG PERDANA MULIA,"JL. RAYA SERANG KM 16.8 KP. CIHIDEUNG RT. 002,002DESA TALAGA, KEC. CIKUPA - KAB. TANGERANG 15710, INDONESIA",-6.22227077135102,106.545769990385,15710,생산법인,.,,C. 제조업,"가죽, 가방 및 신발 제조업"
동남아대양주,인도네시아,자카르타,극동인터네셔날스마랑(스마랑가먼트),SEMARANG GARMENT,"JL. SOEKARNO HATTA KM.25 DS. WUJIL KEC. BREGAS KAB. SEMARANG JAWA TENGAH, INDONESIA",-7.17181759071798,110.41554714462,50552,생산법인,.,국동,C. 제조업,섬유제품 제조업 (의복 제외)
동남아대양주,인도네시아,자카르타,글로리텍스타일인도네시아,GLORY TEXTILE INDONESIA,"JL. CIPAMOKOLAN, RANCACILI, RANCASARI, DERWATI NO. 179, BANDUNG, INDONESIA",-6.95842402891601,107.677386499663,40292,생산법인,.,,C. 제조업,섬유제품 제조업 (의복 제외)
동남아대양주,인도네시아,자카르타,글로벌 메탈 인두스트리,GLOBAL METAL INDUSTRI,"JL. RAYA CURUG KM.3 NO.26 DESA KADU, CURUG, TANGERANG 15810, INDONESIA",-6.24553995444673,106.565112279758,15810,생산법인,.,,C. 제조업,기타 제품 제조업
동남아대양주,인도네시아,자카르타,글로벌밧데리인도네시아,GLOBAL BATTERY INDONESIA,"KAWASAN INDUSTRI DELTA SILICON 5 JL. CENDANA RAYA BLOK G5 NO. 5 KAV. 9 LIPPO, SERTAJAYA, KEC. CIKARANG TIM., BEKASI, JAWA BARAT 17530, INDONESIA",-6.35528246557596,107.160752784833,17530,생산법인,.,"Global Battery CO., LTD.",C. 제조업,기타 제품 제조업
동남아대양주,인도네시아,자카르타,글로벌쎈터,GLOBAL CENTER (CONSULTING),"RUKO PINANGSIA BLOK E NO. 18 LIPPO KARAWACI TANGERANG, INDONESIA",-6.22124979955512,106.73598692288,15138,서비스법인,.,,"M. 전문, 과학 및 기술 서비스업",
