지역,진출국가,관할무역관,기업명(국문),기업명(영문),주소,위도,경도,우편번호,진출형태,투자형태,모기업명,업종 대분류,업종 중분류,,,,,,,,,,,,
동남아대양주,베트남,호치민,안즈 베트남,"ANTZ VIET NAM CO., LTD.","2ND FL. & 3RD FL., 82 LE THI HONG GAM ST., NGUYEN THAI BINH ST., DIST. 1, HCMC",10.768969046757,106.697905753276,700000,서비스법인,단독투자,,"S. 협회 및 단체, 수리 및 기타 개인 서비스업",,,,,,,,,,,,,
동남아대양주,베트남,호치민,폴리컴,"POLYCOM CO., LTD.","PHÒNG 202 KHU VĂN PHÒNG NCC, SỐ 87, ĐƯỜNG LÁNG HẠ, PHƯỜNG THÀNH CÔNG, QUẬN BA ĐÌNH, THÀNH PHỐ HÀ NỘI, VIỆT NAM",10.8214564600568,106.918758599303,700000,생산법인,단독투자,,C. 제조업,전기장비 제조업,,,,,,,,,,,,
동남아대양주,베트남,호치민,더블유와이더블유 소싱,"WYW SOURCING CO., LTD.","#11, 9TH FL., CANTAVIL PREMIER BLD., 1 SONG HANH ST., AN PHU WARD, DIST. 2, HCMC, VIETNAM",10.8048003779472,106.714560909098,700000,생산법인,단독투자,,C. 제조업,"가죽, 가방 및 신발 제조업",,,,,,,,,,,,
동남아대양주,베트남,호치민,제이테크,"J-TECH CO., LTD.","MEZZANINE FL., MELODY TOWER, 422-424 UNG VAN KHIEM ST., WARD 25, BINH THANH DIST., HCMC",10.7994988002491,106.721542478528,700000,판매법인,단독투자,,G. 도매 및 소매업,,,,,,,,,,,,,
동남아대양주,베트남,호치민,티에스 팜 1인유한책임회사,TSFARM VIETNAM ONE MEMBER COMPANY LIMITED,"AP 4B, XA PHUOC MINH, HUYEN DUONG MINH CHAU, TINH TAY NINH, VIET NAM",10.864731794845,106.695116996969,80214,"생산법인, 해외지사",단독투자,주식회사 조인,"A. 농업, 임업 및 어업",,,,,,,,,,,,,
동남아대양주,베트남,호치민,한국무역보험공사 호치민 지사,KOREA TRADE INSURANCE CORP. HCMC OFFICE (KSURE),"#1207, DIAMOND PLAZA, 34 LE DUAN ST., DIST. 1, HCMC",10.7810031840419,106.698707297454,700000,연락사무소,단독투자,한국무역보험공사,K. 금융 및 보험업,,,,,,,,,,,,,
동남아대양주,베트남,호치민,포스코건설 베트남법인,POSCO ENGINEERING & CONSTRUCTION VIET NAM,"705-706, 7TH FLOOR, DIAMOND PLAZA, 34 LE DUAN STREET, DISTRICT 1, HO CHI MINH CITY, VIETNAM",10.7812820942494,106.698526881812,700000,생산법인,단독투자,포스코건설,F. 건설업,,,,,,,,,,,,,
동남아대양주,베트남,호치민,홍원,"HONG WON CO., LTD.","ẤP 1, XÃ TÂN THẠNH TÂY, HUYỆN CỦ CHI, THÀNH PHỐ HỒ CHÍ MINH, VIỆT NAM",11.0173761355581,106.530965209101,700000,생산법인,단독투자,,C. 제조업,"가죽, 가방 및 신발 제조업",,,,,,,,,,,,
동남아대양주,베트남,호치민,한비엣 플라스틱,"HAN VIET PLASTIC CO., LTD.","KHU CÔNG NGHIỆP TAM PHƯỚC, LÔ 33, ĐƯỜNG 7, HUYỆN LONG THÀNH, TỈNH ĐỒNG NAI, BÌNH SƠN, LONG THÀNH, ĐỒNG NAI",10.7971570950723,107.011428982112,700000,생산법인,단독투자,,C. 제조업,기타 기계 및 장비 제조업,,,,,,,,,,,,
동남아대양주,베트남,호치민,에어 리퀴드 베트남,"AIR LIQUIDE VIETNAM CO., LTD.","LOT I-2A, ROAD N2, SAIGON HITECH PARK, THU DUC CITY, HCMC",10.8521383807959,106.805053951428,700000,생산법인,.,,C. 제조업,화학 물질 및 화학제품 제조업 (의약품 제외),,,,,,,,,,,,
동남아대양주,베트남,호치민,지비티비엔,GBTVN,"SỐ 1260, LÔ 17, ĐƯỜNG 11, KHU DÂN CƯ VIỆT - SING, PHƯỜNG AN PHÚ, THÀNH PHỐ THUẬN AN, TỈNH BÌNH DƯƠNG, VIỆT NAM",10.8751519124169,106.752950678415,700000,연락사무소,.,,"A. 농업, 임업 및 어업",,,,,,,,,,,,,
동남아대양주,베트남,호치민,한조원 비나,"HANJOWON VINA CO., LTD.","36 HOANG ANH ST., TAN KHANH WARD, TAN AN CITY, LONG AN",10.5036000839902,106.383578356971,700000,생산법인,단독투자,(주)한조원,C. 제조업,기타 제품 제조업,,,,,,,,,,,,
동남아대양주,베트남,호치민,영남비나 (주),"YOUNGNAM VINA CO., LTD.","MY XUAN B1-CONAC IP, MY XUAN WARD, PHU MY TOWN, BA RIA-VUNG TAU",10.6360959797176,107.05897494163,700000,생산법인,단독투자,,C. 제조업,"전자 부품, 컴퓨터, 영상, 음향 및 기통신장비 제조업",,,,,,,,,,,,
동남아대양주,베트남,호치민,팜랜드 비나 주식회사,FARMLAND VINA JOINT STOCK COMPANY,"KP 8, HIGHWAY 1 - LONG BINH WARD - BIEN HOA CITY - DONG NAI., VIETNAM",10.9417289989717,106.868525139784,700000,생산법인,합작투자,,C. 제조업,식료품 제조업,,,,,,,,,,,,
동남아대양주,베트남,호치민,탑건설(주),"TOP ENGINEERING & CONSTRUCTION CO., LTD.","#603, 6TH FL., SCS BLD., LOT T2-4, ROAD D1, HI-TECH PARK, TAN PHU WARD, DIST. 9, HCMC, VIETNAM",10.8494496564469,106.800053524441,700000,서비스법인,단독투자,,F. 건설업,,,,,,,,,,,,,
