,Title,Link,Content(RAW)
14,"[FOTO] Pagi di IKN, Presiden Tinjau Progres Pembangunan …",https://www.presidenri.go.id/foto/pagi-di-ikn-presiden-tinjau-progres-pembangunan-istana-dan-kantor-presiden/,"Presiden Joko Widodo melanjutkan kunjungan kerja hari keduanya di Ibu Kota Nusantara (IKN), Kabupaten Penajam Paser Utara, Provinsi Kalimantan Timur, pada Kamis, 21 Desember 2023. Mengawali pagi, Presiden Jokowi bersama rombongan terbatas mengunjungi lokasi pembangunan Kantor Presiden.

Dari atas Kantor Presiden, Kepala Negara didampingi Menteri Sekretaris Negara Pratikno, Kepala Otorita IKN Bambang Susantono, dan Kurator Pembangunan IKN Ridwan Kamil, meninjau perkembangan pembangunan kompleks Istana Kepresidenan.

Presiden Jokowi memastikan fasilitas hingga desain bangunan Kantor Presiden dan Istana Kepresidenan sesuai dengan konsep, salah satunya adalah bilah Garuda yang menjadi ikon Istana Kepresidenan di IKN."
15,Presiden Jokowi Harap Kehadiran Polres Khusus IKN Tingkatkan …,https://www.presidenri.go.id/siaran-pers/presiden-jokowi-harap-kehadiran-polres-khusus-ikn-tingkatkan-stabilitas-dan-keamanan-di-ikn/,"Kepala Negara pun meminta agar Polres Khusus IKN dilengkapi dan disiapkan secara khusus sehingga bisa menjadi contoh bagi polres lain di Indonesia, sekaligus menjadikan IKN kawasan yang bebas dari tindak kejahatan.

Presiden Joko Widodo melakukan peletakkan batu pertama Gedung Polres Khusus Kawasan Ibu Kota Nusantara (IKN), di Provinsi Kalimantan Timur, pada Kamis, 21 Desember 2023. Dalam sambutannya, Presiden Jokowi berharap kehadiran Polres Khusus IKN tersebut akan meningkatkan pelayanan kepada masyarakat hingga menjaga stabilitas dan keamanan di IKN.

“Saya harap kehadiran Polres Khusus IKN ini betul-betul akan meningkatkan pelayanan dan perlindungan kepada masyarakat, memperkuat penegakkan hukum, meningkatkan stabilitas dan keamanan di wilayah IKN,” ujar Presiden.

Gedung Polres Khusus IKN memiliki luas 6.189 meter persegi dan berdiri di atas tanah seluas 12 hektare. Pembangunannya akan memakan waktu sekitar sembilan bulan dengan anggaran sebesar Rp160 miliar. Presiden Jokowi pun berpesan agar Polres Khusus IKN dibangun dengan konsep desain yang khusus dan merupakan bangunan hijau.

“Karena kawasannya adalah kawasan hijau, lingkungannya adalah lingkungan hijau, saya minta untuk desain Polresnya juga sedikit dikoreksi agar muncul (konsep) green building-nya,” ungkapnya.

Selain itu, Polres Khusus IKN juga akan dilengkapi dengan pusat komando hingga fasilitas untuk analisis kecerdasan buatan (AI). Kepala Negara pun meminta agar Polres Khusus IKN dilengkapi dan disiapkan secara khusus sehingga bisa menjadi contoh bagi polres lain di Indonesia, sekaligus menjadikan IKN kawasan yang bebas dari tindak kejahatan.

“Ini akan kita jadikan contoh bahwa Ibu Kota Nusantara adalah ibu kota yang aman dan tidak ada kejahatan sama sekali ke depan, yang berkaitan dengan kriminalitas utamanya dalam rangka menjaga dan melindungi warga di Ibu Kota Nusantara, sehingga nanti bisa dijadikan contoh untuk kota-kota yang lainnya termasuk tentu saja organisasinya harus betul-betul disiapkan secara khusus,” jelasnya.

Untuk personelnya, Presiden Jokowi menyebut bahwa Polres Khusus IKN akan diperkuat sekitar 750 personel yang wilayah kerjanya meliputi enam polsek. Presiden pun menyambut baik penyiapan personel yang nantinya akan ditempatkan di Polres Khusus IKN.

“Saya senang bahwa personelnya sudah ditempatkan, disiapkan di Polda, seluruh jajaran Polres di Kalimantan Timur, sehingga pada saat nanti Polres Khusus IKN ini selesai tinggal langsung digeser 750 personel tersebut nanti ke Polres IKN ini,” tandasnya.

Turut mendampingi Presiden dalam kegiatan tersebut yakni Menteri Sekretaris Negara Pratikno, Menteri Agraria dan Tata Ruang/Kepala Badan Pertanahan Nasional Hadi Tjahjanto, Panglima TNI Jenderal Agus Subiyanto, Kapolri Jenderal Pol. Listyo Sigit Prabowo, Pj. Gubernur Kalimantan Timur Akmal Malik, Kepala Otorita IKN Bambang Susantono, dan Kurator Pembangunan IKN Ridwan Kamil."
16,Tanamkan Kesadaran Kolektif Mengenai Peran Penting …,https://www.mpr.go.id/berita/Tanamkan-Kesadaran-Kolektif-Mengenai-Peran-Penting-Perempuan-dalam-Proses-Pembangunan,"Tanamkan Kesadaran Kolektif Mengenai Peran Penting Perempuan dalam Proses Pembangunan

Sejarah mencatat peran penting kepemimpinan dan perjuangan perempuan di Nusantara. Sudah saatnya menanamkan kesadaran kolektif bahwa perempuan memiliki peran dan kemampuan yang penting dalam dinamika pembangunan nasional.

""Peringatan Hari Ibu 2023 harus menjadi momentum untuk menegaskan bahwa perempuan pada dasarnya berdaya, sehingga pelibatan perempuan dalam upaya pembangunan bangsa adalah sebuah keniscayaan,"" kata Wakil Ketua MPR RI, Lestari Moerdijat saat menjadi pembicara kunci Seminar Nasional Peringatan Hari Ibu Tahun 2023 bertema Wanita Kuat dalam bidang Pertahanan, Kebudayaan dan Strategi Pembangunan, di Arsip Nasional Republik Indonesia/ANRI, Jakarta, Kamis (21/12).

Hadir pada acara tersebut antara lain Rieke Diah Pitaloka (Anggota Komisi VI DPR RI dan Duta Arsip), Teni Widuriyanti (Sekretaris Kementerian PPN/Bappenas), Imam Gunarto (Plt Kepala ANRI), Jaleswari Pramodhawardani (Pakar Kemiliteran – Deputi V Kantor Staf Presiden RI) dan Nungki Kusumastuti (Seniman, juga Pakar Kebudayaan).

Lestari menegaskan, diperlukan perubahan pola pikir dengan menyelami peran perempuan dalam peradaban bangsa agar peringatan Hari Ibu menjadi momentum merayakan pencapaian perempuan dalam sejarah dan mendefinisikan kembali peran perempuan dalam dinamika pembangunan bangsa.

Perempuan Nusantara dalam catatan Portugis, ungkap Rerie, sapaan akrab Lestari, memiliki keutamaan intelektual dan moral sehingga mampu menjaga kerukunan dan perdamaian, menjadi diplomat antar-kesultanan, mengelola institusi perwakilan, serta mengemban tugas pemerintahan.

Ratu Kalinyamat, tambah Rerie, menjadi salah satu tokoh penting pada abad XVI yang mampu memimpin dalam bidang pertahanan, kebudayaan dan pembangunan sehingga Jepara mencapai puncak kejayaan.

Kepemimpinan Ratu Jepara yang mengagumkan itu, ujarnya, disimpulkan dalam satu frasa mendalam Rainha de Japara, Senhora poderosa, e rica1. Ratu Jepara, perempuan sakti dan kaya raya. Sakti merujuk pada pengetahuan mendalam dan kesahajaan yang ditampilkan Ratu Kalinyamat.

Sepak terjang Ratu Kalinyamat, tegas Rerie, menjadi inspirasi dan bukti bahwa perempuan adalah motor penggerak sekaligus peletak pemikiran tentang cinta tanah air yang tampak dengan penolakan pada setiap bentuk kolonialisme.

Rerie menilai, penganugerahan gelar Pahlawan Nasional kepada Ratu Kalinyamat meneguhkan pengakuan bangsa dan negara atas peranan perempuan yang pernah mengalami distorsi narasi dalam sejarah yang mendiskreditkan peran dan kepemimpinan mereka hingga mengalami subordinasi sistemik yang melekat dalam budaya.

Jauh sebelum perempuan mengalami pelemahan dalam struktur sosial-budaya, jelas Rerie yang juga anggota Komisi X DPR RI itu, rekam jejak

kepemimpinan dan peran perempuan Nusantara telah ada sejak abad VII sampai abad XVII seperti Ratu Shima dari Kerajaan Kalingga (abad VII), Ken Dedes (XII), Gayatri Rajapatni (XIII), Tribuana Tunggadewi (XIV), Dyah Pitaloka Citraresmi (XIV), dan Nyai Gede Pinatih (XVI).

Perempuan Nusantara, tambah dia, memiliki sejarah yang melekat dengan peran penting dalam sebuah tatanan budaya.

Mengutip Qismullah Yusuf dalam 21 Wanita Perkasa Yang Ditempa oleh Budaya Aceh (2021), ujar Rerie, perempuan pada dasarnya diperkasakan dan dilemahkan oleh budaya.

Keseluruhan catatan perjuangan perempuan sesudah abad XVI, jelasnya, mengerucut pada pilar pertahanan-keamanan, pengembangan karya intelektual budaya, tatanan sosial kemasyarakatan dan perhatian menyeluruh dalam dinamika pembangunan.

Ironinya, tambah Rerie, dalam perkembangan sejarah, perempuan terperangkap dalam subordinasi budaya, subyek yang lekat dengan urusan domestik maupun privat, dan memiliki ruang terbatas dalam dinamika publik sepanjang abad XVII sampai abad XX.

Anggota Majelis Tinggi Partai NasDem itu mendorong agar prinsip kesetaraan yang telah tertanam jauh sebelum kolonialisme, harus menempatkan perempuan dan laki-laki mampu berperan dalam ranah privat dan publik sesuai kapabilitas yang dimiliki.

Penetapan Hari Ibu pada Kongres Perempuan III di Bandung 23-27 Juli 1938, tegas Rerie, harus menjadi pengingat bagi seluruh anak bangsa tentang pergerakan dan perjuangan perempuan yang tercatat dalam sejarah, khususnya tentang peran dan kepemimpinan perempuan sepanjang periode peradaban dalam pertahanan, kebudayaan dan pembangunan bangsa.*

Anggota Terkait :





Dr. LESTARI MOERDIJAT S.S., M.M."
17,"Didukung pemerintah, WSKT bidik Rp17 triliun kontrak baru di 2024",https://www.idnfinancials.com/id/news/48707/,"WSKT - PT. Waskita Karya (Persero) Tbk Rp 0 0 (0%) Info Selengkapnya!

JAKARTA. Dengan dukungan pemerintah, PT Waskita Karya (Persero) Tbk (WSKT) optimis dapat meraih target kontrak baru di tahun 2024 sebesar Rp17 triliun. Hingga November (11M) 2023, perseroan berhasil mengamankan kontrak baru senilai Rp14,4 triliun di tengah proses resktrukturisasi utangnya.

""Hingga akhir 2023, target nilai kontrak baru sebesar Rp16 triliun,"" ungkap manajemen Waskita dalam Paparan Publik Tahunan 2023 yang digelar virtual kemarin (21/12). Dengan kata lain, WSKT menargetkan pertumbuhan kontrak baru 6,25% year-on-year (yoy) di tahun 2024 menjadi Rp17 triliun.

Hingga akhir November lalu, Rp6,7 triliun dari Rp14,4 triliun, atau 46,52% kontrak baru didapatkan dari proyek-proyek di Ibu Kota Negara (IKN). Beberapa proyek besar tersebut meliputi Gedung Sekneg senilai Rp1,3 triliun, Gedung Kemenko Rp735 miliar, dan Rumah Susun untuk ASN Rp1,1 triliun.

Dukungan pemerintah lain adalah dalam bentuk Penyertaan Modal Negara (PMN) yang akan disalurkan secara tidak langsung melalui PT Hutama Karya (Persero). ""Karena kami fokus dengan proyek konstruksi, maka PMN dialihkan lewat Hutama Karya,"" aku Muhammad Hanugroho, Direktur Utama Waskita Karya, kemarin.

Berdasarkan isu dan rencana yang beredar di publik, Kementerian BUMN memang tengah menjajaki proses merger antara BUMN-BUMN konstruksi, termasuk Waskita Karya dan Hutama Karya.

""Kami sedang dalam proses diskusi awal antara Hutama Karya dan Waskita, dalam satu tahun ke depan, untuk membahas proses integrasi,"" ungkap Rudi Purnomo, Direktur Pengembangan Bisnis WSKT.

Tidak hanya itu, WSKT juga merencanakan pertumbuhan pendapatan menjadi Rp14 triliun pada akhir 2024. ""Dengan pertumbuhan nilai kontrak baru, kami harapkan ada growth dalam pendapatan,"" lanjut manajemen.

Waskita dilaporkan tengah dalam proses Master Restructuring Agreement (MRA) atas utang-utangnya. Disebutkan bahwa 17 dari 21 bank kreditur telah menyetujui skema restrukturisasi.

""4 bank lain sedang melalui proses internal review. Harapannya, Januari 2024, seluruh bank dapat menyetujui terms of agreement dan dapat berlanjut ke finalisasi MRA baru,"" tutup Hanugroho. (ZH)"
18,"Transformasi bisnis, Bank KB Bukopin optimis kredit tumbuh 15",https://www.idnfinancials.com/id/news/48705/,"BBKP - PT. Bank KB Bukopin Tbk Rp 80 +1 (+1,27%) Info Selengkapnya!

JAKARTA - PT Bank KB Bukopin Tbk (BBKP), bank swasta yang kini tergabung dalam KB Financial Group dari Korea, menargetkan kredit baru tumbuh 15% pada tahun 2024, yang akan didorong oleh segmen wholesale dan ekosistem bisnis Korea.

Shin Seng Hyup, Direktur Keuangan BBKP, mengungkapkan bahwa hingga akhir Q3 2023, bank telah menyalurkan kredit hingga Rp43,96 triliun. ""Secara umum, kredit bertumbuh 13,6% yoy pada akhir Q3 2023,"" ungkapnya lebih lanjut.

Dari jumlah kredit tersalurkan tersebut, hampir setengahnya, 46,6% atau Rp20,48 triliun, didominasi oleh segmen wholesale. ""Segmen ini tumbuh 12,9% year-on-year (yoy),"" tambah Shin dalam bahasa Korea.

Berdasarkan penjelasan jajaran direksi pada Paparan Publik Tahunan Bank KB Bukopin 2023 hari ini (22/12), bank disebut tengah berada dalam tahap terakhir dari proses transformasi bisnis pascaakuisisi oleh KB Kookmin Bank asal Korea Selatan pada tahun 2021.

""Dari kredit yang disalurkan sejak 2021, NPL kami kini hanya 0,50%,"" klaim Shin. BBKP memang mencatatkan NPL yang masih cukup tinggi, yaitu 4,86%.

Beberapa usaha juga telah dilakukan BBKP untuk mengurangi kredit berisiko dengan penjualan besar-besaran, yang sudah berlangsung selama tahun 2022-2023.

""Hasil recovery aset kami mencapai Rp10 triliun. Maka, loan-at-risk (LAR) kami juga turun 23% yoy menjadi 43,96%,"" lanjut Shin.

Lalu, untuk dana pihak ketiga (DPK), BBKP menargetkan pertumbuhan hingga 10% di tahun 2024. ""Kami juga menargetkan untuk NIM mencapai 1,5% tahun depan, sehingga PPOP kami berubah menjadi positif,"" tambah Robby Mondong, Wakil Direktur Utama BBKP.

Ke depannya, BBKP dilaporkan akan mengandalkan segmen wholesale dan ekosistem Korean Link Business di bawah KB Financial Group, diikuti oleh UMKM dan retail. (ZH)"
19,"Samcro Hyosung Adilestari tawarkan 693,82 juta saham lewat IPO",https://www.idnfinancials.com/id/news/48703/,"JAKARTA. PT Samcro Hyosung Adilestari Tbk (ACRO), perusahaan penanaman modal asing yang bergerak dalam industri dan perdagangan hook dan loop, akan menawarkan 693,82 juta lembar saham melalui penawaran umum perdana atau Initial Public Offering (IPO).

Jumlah saham yang akan ditawarkan oleh ACRO setara dengan 20% dari modal ditempatkan dan disetor penuh. Setiap saham memiliki nilai nominal Rp20 per lembar, serta akan ditawarkan dengan harga Rp103 sampai dengan Rp108 per lembar.

Dengan asumsi harga penawaran pada batas atas yaitu Rp108 per lembar, ACRO berpotensi meraup dana segar hingga Rp74,93 miliar dari IPO.

ACRO telah menunjuk PT UOB Kay Hian Sekuritas sebagai penjamin pelaksana emisi efek dalam IPO. Masa penawaran umum dijadwalkan pada pada 2-8 Januari 2024 dan pencatatan di Bursa Efek Indonesia (BEI) pada 10 Januari 2024.

Dalam prospektus yang telah disampaikan, ACRO berencana mengalokasikan sekitar 30% dana hasil IPO untuk pembelian mesin. Kemudian sekitar 10% akan digunakan untuk membayar utang kepada PT Bank Woori Saudara 1906 Tbk (SDRA), 15% untuk kegiatan operasional, serta sisanya untuk modal kerja. (KR)"
20,"Lagi, pemilik saham TRJA divestasi sahamnya | IDNFinancials",https://www.idnfinancials.com/id/news/48697/again-trjas-shareholder-divest,"MYOH - PT. Samindo Resources Tbk Rp 1.635 -5 (-0,30%) Info Selengkapnya!

JAKARTA - PT Aneka, distributor perangkat drilling, melepas saham kepemilikannya di PT Transkon Jaya Tbk (TRJA), mengikuti jejak dua pemegang saham lainnya, PT Damai Investama Sukses (DIS) dan PT MSJ Investama Abadi (MIA) yang telah melakukan divetasi saham di emiten itu.



Dalam keterbukaan informasi yang dihimpun, Kamis (21/12), kepemilikan saham Aneka turun 0,49% atau 7,34 juta dari 101,92 juta atau 6,75% menjadi 6,26% atau 94,58 juta hingga pekan lalu (15/12). Harga saham ditransaksikan kisaran Rp 272 per lembar. Bila dikalkulasikan, maka nilai transaksi sebanyak Rp 1,99 miliar.



Pada awal Desember 2023, Aneka melepas 0,39% sahamnya sehingga turun 0,39% dari 10,7,73 miliar atau 7,14% menjadi 6,75% atau sebanyak 101,92 juta dengan harga kisaran Rp 272 per saham. Dalam sejumlah transaksi sebelumnya, kepemilikan Aneka di TRJA turun 1,65% dari 8,79% atau 132,74 juta menjadi 107,73 juta atau 7,14% per 5 Desember 2023.



Divestasi itu berlangsung pasca DIS dan MIA mengalihkan 1,11 miliar sahamnya ke PT Samindo Resources Tbk (MYOH) senilai nominal Rp 111,75 miliar atau sebanyak 74%. Dalam Rapat Umum Pemegang Saham Luar Biasa (RUPSLB) pada (8/11), pemegang saham TRJA menyetujui divestasi dua pemegang saham itu ke MYOH. (LK)



"
21,"UOB Kay Hian raih Rp 78,75 miliar hasil jual saham BOLT",https://www.idnfinancials.com/id/news/48704/,"BOLT - PT. Garuda Metalindo Tbk Rp 735 +5 (+0,68%) Info Selengkapnya!

JAKARTA - UOB Kay Hian Pte Ltd raup Rp 78,75 miliar dari hasil penjualan 112,5 juta sahamnya di PT Garuda Metalindo Tbk (BOLT) dalam transaksi pada awal pekan ini (8/12). Harga penjualan saham ditetapkan Rp 700 per lembar.



Dalam keterbukaan informasi dikutip Jumat (22/12), Erwin Wijaya, Direktur Utama BOLT menyampaikan kepemilikan saham UOB turun 4,8% menjadi 9,97% atau 233,69 juta dari sebelumnya 346,19 juta lembar atau 14,77% dari total saham tercatat 2,34 miliar saham.



Transaksi penjualan saham itu dilakukan UOB sebagai realisasi investasi di BOLT. Per 30 November 2023, kepemilikan saham BOLT dipegang pengendali 80% dan non pengendali 20%.



Per September 2023, penjualan emiten ini tercatat Rp 1,13 triliun, laba kotor Rp 233,55 miliar, laba usaha RP 144,46 miliar, dan laba bersih Rp 109,76 miliar.



Pada (18/12), harga penutupan transaksi saham BOLT senilai Rp 715 per saham, harga tertinggi Rp 875 per lembar dan terendah Rp 615 per saham. Volume saham diperdagangkan 397.500 lembar dalam 389 kali transkasi senilai Rp 306,18 juta. (LK)"
22,"Perluas distribusi, DC baru Ultrajaya di MM2100 beroperasi tahun …",https://www.idnfinancials.com/id/news/48696/expanding-distribution-network-ultrajayas-dc-mm-operation,"ULTJ - PT. Ultra Jaya Milk Industry & Trading Company Tbk Rp 1.590 -10 (-0,63%) Info Selengkapnya!

JAKARTA - Menyambut 2024, PT Ultrajaya Milk Industry and Trading Company Tbk (ULTJ) siap perkuat jaringan pemasarannya dengan distribution centre (DC) dan pabrik baru yang siap beroperasi pada kuartal-I tahun 2024.

Berdasarkan penjelasan manajemen ULTJ pada Paparan Publik Tahunan 2023 yang dilangsungkan via Zoom hari ini (21/12), fasilitas DC dan gudang terbaru Ultrajaya didirikan di Kawasan Industri MM2100 di Cibitung, Jawa Barat.

""Fasilitas ini memliki luas 25000 m2, dan memiliki kapasitas cukup besar, yaitu 36,940 palet, serta dilengkapi Automated Storage & Retrieval Systems (ASRS),"" ungkap manajemen ULTJ.

Proses konstruksi fasilitas ini dimulai sejak tahun 2021. Selain DC dan gudang, di lokasi yang sama, juga akan didirikan pabrik. ""Fasilitas produksi ini ditargetkan akan beroperasi pada Q4 2025 - Q1 2026,"" lanjut manajemen Ultrajaya.

Menurut manajemen ULTJ, fasilitas baru ini disebut akan meningkatkan efisiensi biaya sewa gudang, serta memperlancar distribusi dan pemasaran ke depannya.

Hal ini sejalan dengan strategi perseroan untuk mengoptimalkan jaringan distribusi dan mendorong kapasitas produksi, sehingga dapat mendorong ekspansi market dalam jangka panjang. (ZH)"
23,Penawaran yang masuk dalam lelang sukuk negara tembus …,https://www.idnfinancials.com/id/news/48693/incoming-bids-sukuk-auction-reach-idr,"JAKARTA. Jumlah penawaran yang masuk dalam lelang Surat Berharga Syariah Negara (SBSN) atau sukuk negara pada Selasa (19/12) kemarin tercatat sebesar Rp11,94 triliun, menurut keterangan resmi Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan.

Terdapat 6 seri sukuk negara yang ditawarkan dalam lelang tersebut. Jumlah penawaran untuk masing-masing seri yaitu sebesar Rp5,05 triliun untuk seri SPNS04062024, kemudian Rp2,72 triliun untuk seri PBS036, Rp1,22 triliun untuk seri PBS003, Rp816 miliar untuk seri PBSG001, Rp1,01 triliun untuk seri PBS037, dan Rp1,1 triliun untuk seri PBS038.

Dari seluruh penawaran yang masuk, total nominal yang dimenangkan oleh Pemerintah Indonesia adalah sebesar Rp4 triliun.

Menurut data idnfinancials.com, Pemerintah Indonesia juga telah menggelar lelang sukuk negara pada 5 Desember 2023 kemarin. Dalam lelang tersebut, jumlah penawaran yang masuk mencapai Rp19,75 triliun. Sementara itu total nominal yang dimenangkan sebesar Rp9,14 triliun. (KR)"
24,"Sinergi Multi Lestarindo tawarkan 465,6 juta saham dalam IPO",https://www.idnfinancials.com/id/news/48695/,"JAKARTA. PT Sinergi Multi Lestarindo Tbk (SMLE), supplier bahan kimia khusus untuk makanan, akan melaksanakan penawaran umum perdana atau Initial Public Offering (IPO) 465,6 juta lembar saham di Bursa Efek Indonesia (BEI).

Jumlah saham yang ditawarkan oleh SMLE setara dengan 20% dari modal ditempatkan dan disetor penuh setelah IPO. Setiap saham memiliki nilai nominal Rp10 per lembar, serta akan ditawarkan dengan harga Rp175 sampai Rp190 per lembar.

Dengan asumsi harga penawaran pada batas tertinggi yaitu Rp190 per lembar, SMLE berpotensi meraup dana segar hingga Rp88,47 miliar dari IPO.

Dalam prospektus yang disampaikan, SMLE berencana menggunakan sekitar Rp6 miliar dana hasil IPO untuk pembelian 1 gudang khusus bahan baku. Kemudian sekitar Rp3,4 miliar akan digunakan untuk pengembangan laboratorium riset dan pengembangan, serta sisanya untuk modal kerja perseroan.

SMLE telah menunjuk PT MNC Sekuritas sebagai penjamin pelaksana emisi efek dalam IPO. Masa penawaran umum dijadwalkan pada 2-8 Januari 2024, distribusi saham pada 9 Januari 2024, dan pencatatan saham di bursa pada 10 Januari 2024. (KR)"
25,"Pairing up with IBM, Metrodata Electronics gets ready for AI ...",https://www.idnfinancials.com/id/news/48689/pairing-ibm-metrodata-electronics-ready-development,"MTDL - PT. Metrodata Electronics Tbk Rp 515 +5 (+0,98%) Info Selengkapnya!

JAKARTA – Lewat entitas anak, PT Synnex Metrodata Indonesia (SMI), PT Metrodata Electronics Tbk (MTDL) kini menjadi distributor resmi IBM di Indonesia, yang digadang-gadang dapat memperkuat layanan IT untuk segmen komersial.

Kemitraan dengan IBM akan memungkinkan MTDL, lewat SMI, untuk menawarkan produk perangkat lunak dan keras IBM, serta server dan storage mutakhir, pada sektor komersial di Indonesia.

“Melalui kerjasama dengan IBM ini, MTDL melalui anak usahanya, SMI, siap untuk mengembangkan AI (artificial intelligent) generatif untuk bisnis,” ungkap Susanto Djaja, Direktur Utama MTDL, pada siaran pers yang dikutip hari ini (21/12).

Kemudian, Lie Heng, Direktur SMI, percaya bahwa kolaborasi ini akan semakin memajukan penggunaan teknologi digital di Indonesia.

Harapannya, dengan adanya kerjasama dengan IBM ini, kami dapat mendukung banyak sektor dan segmen enterprise di Indonesia untuk melalui transformasi digital sebagai upaya

mendukung industri 4.0 dan Indonesia Emas 2045,"" kata Lie Heng. (ZH)"
26,MDKA kucurkan pinjaman bergulir US$ 100 juta ke MBMA,https://www.idnfinancials.com/id/news/48690/,"MDKA - PT. Merdeka Copper Gold Tbk Rp 2.700 +130 (+5,06%) Info Selengkapnya!

JAKARTA - PT Merdeka Copper Gold Tbk (MDKA) kucurkan pinjaman bergulir (revolving credit facility) dengan plafon maksimum US$ 100 juta guna operasional PT Merdeka Battery Materials Tbk (MBMA). Transaksi afiliasi ini ditandatangani kemarin (18/12).



Deny Greviartana Wijaya, Sekretaris Perusahaan MBMA menyampaikan fasilitas kredit bergulir itu menggunakan kurs referensi secured overnight financing rate (SOFR) berjangka tiga bulan pada saat pencairan dan margin 5,50% per tahun.



Pasca meraih pinjaman itu, kas dan setara kas MBMA akan naik US$ 100 juta menjadi US$ 428,09 juta dari US$ 328,09 juta merujuk laporan keugangan semester I 2023. Sehingga total aset lancar menjadi US$ 889,13 juta dari US$ 789,13 juta. Total liabilitas jangka panjang menjadi US$ 718,55 juta dari US$ 618,55 juta.



MDKA merupakan pemilik 50,04% saham MBMA. Nilai transaksi ini di bawah 20% dari total ekuitas MBMA US$ 2,10 miliar per Juni 2023. (LK)"
28,Bursa Efek Jakarta & Indonesia | Pasar Keuangan Indonesia,https://www.idnfinancials.com/id/announcement/12453/perdagangan-saham-kapuas-prima-coal-dihentikan-sementara-dari-tanggal-desember,"Perseroan telah menunda pembayaran pokok Obligasi I Kapuas Prima Coal Tahun 2018 (ZINC01E) yang seharusnya jatuh tempo pada tanggal 21 Desember 2023.

Sehubungan dengan hal tersebut dan dalam rangka menjaga perdagangan efek yang teratur, wajar dan efisien maka Bursa Efek Indonesia (Bursa) memutuskan untuk melakukan penghentian sementara Perdagangan Efek PT Kapuas Prima Coal Tbk. (ZINC) di Seluruh Pasar terhitung sejak Sesi I Perdagangan Efek tanggal 21 Desember 2023, hingga pengumuman Bursa lebih lanjut

Bursa meminta kepada seluruh pihak yang berkepentingan untuk selalu memperhatikan keterbukaan informasi yang disampaikan oleh Perseroan.

DH"
29,BEI suspend ZINC gegara tunda bayar pokok Obligasi 2018,https://www.idnfinancials.com/id/news/48694/late-payment-bonds-idx-zinc-suspension,"ZINC - PT. Kapuas Prima Coal Tbk Rp 0 0 (0%) Info Selengkapnya!

JAKARTA - PT Bursa Efek Indonesia (BEI) menghentikan sementara (suspend) perdagangan saham PT Kapuas Prima Coal Tbk (ZINC) buntut belum melunasi pokok Obligasi I Tahun 2018 Seri E Rp 23 miliar. Namun, emiten ini tetap membayar bunga Obligasi ke-20 yang jatuh tempo hari ini (21/12).



Dikutp dalam keterbukaan informasi BEI, penghentian sementara transaksi di seluruh pasar sejak sesi I pada Kamis (21/12) hingga pengumuman bursa lebih lanjut.



Sebelumnya, Hendra Susanto William, Direktur ZINC menyampaikan penyetoran bunga Obligasi ke-20 telah dilaksanakan kemarin (20/12) ke rekening PT Kustodian Sentral Efek Indonesia (KSEI). ""Saat ini kondisi cashflow sedang tidak baik sehingga perusahaan memutuskan tidak melunasi pokok obligasi demi mempertahankan kelangsungan operasional,"" katanya.



Per September 2023, emiten ini mencatatkan kas dan setara kas Rp 58,69 miliar, total aset Rp 2,59 triliun, liabilitas Rp 1,81 triliun, dan ekuitas Rp 780,21 miliar. Laba bersih turun menjadi Rp 7,09 miliar dari Rp 12,95 miliar di periode serupa tahun 2022. (LK)"
30,"OK Next Co, Ltd lepas 3,67% saham di OK Bank untuk naikkan …",https://www.idnfinancials.com/id/news/48699/,"DNAR - PT. Bank Oke Indonesia Tbk Rp 121 +6 (+5,22%) Info Selengkapnya!

JAKARTA - OK Next Co, Ltd menjual 3,67% sahamnya di PT Bank Oke Indonesia Tbk (DNAR) terkait peningkatan saham free float. Per 30 November 2023, saham free float emiten ini tercatat 3,83% atau berjumlah 646,71 juta lembar.



Dalam keterbukaan informasi dikutip Kamis (21/12), Park Young Man, Direktur Utama Oke Bank menyampaikan pasca penjualan saham itu, maka total kepemilikan saham oleh OK Next Co, Ltd berkurang 625 juta saham menjadi 15,28 miliar (89,73%) dari sebelumnya berjumlah 15,91 miliar (93,4%). Harga transaksi pelepasan saham itu ditetapkan Rp 120 per lembar. Bila dikalkulasikan, nilanya mencapai Rp 75 miliar.



Per November 2023, jumlah saham DNAR 17,03 miliar dengan struktur kepemilikan 93,4% pengendali dan non pengendali 6,6%. Penerima manfaat akhir dari kepemilikan saham yakni, Yoon Choi. Pengendali dari pemegang saham pengedali yakni, J&K Capital, Nagoyashi, Jepang.



OK Next Co, Ltd merupakan pengendali DNAR, yang sebelumnya dikenal sebagai Apro Financial Co. Perubahan nama ini berlangsung pekan lalu (12/12). (LK)



"
